"Food Resource Type","Agency","Location","Operational Status","Who They Serve","Address","Latitude","Longitude","Phone Number","Website","Days/Hours","Date Updated"
"Meal","Food Not Bombs - Seattle","Occidental Park","Open","General Public","Occidental Ave S and S Main St, Seattle, WA 98104","47.6000475","-122.3328885","(206)-397-6815","https://www.seattlefoodnotbombs.org/?fbclid=IwAR3T68e9asOm5ksmU_CuHK8ppZZir1QFQBRn_HbSvUCNvhDb7sGxeFXhr_g","Sunday, Saturday","7/22/2025"
"Meal","Frelard Tamales","Frelard Tamales","Open","General Public","6412 Latona Ave NE, Seattle, WA 98115","47.6756763","-122.3252185","(206)-523-6654","https://www.frelardtamales.com/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/12/2025"
"Meal","Greater Maple Valley Community Center","Greater Maple Valley Community Center","Open","Older Adults 60+ and Eligible Participants","22010 SE 248th St, Maple Valley, WA 98038","47.380747","-122.0477423","(425)-432-1272","https://www.maplevalleycc.org/","Monday, Wednesday, Friday","8/7/2025"
"Meal","Green Sprouts","SeaTac Community Center","Open","Older Adults 60+ and Eligible Participants","13735 24th Ave S, SeaTac, WA 98168","47.4802984","-122.3038972","(206)-973-4690","https://www.seatacwa.gov/services/senior-program","Tuesday, Wednesday, Thursday, Friday","7/25/2025"
"Food Bank","Help Northwest","Help Northwest","Open","General Public","404 22nd St SE, #D, Auburn, WA 98002","47.2883898","-122.2238173","(206)-227-5977","https://www.helpnorthwest.com/1401.html","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Food Bank","Highline Area Food Bank","Highline Area Food Bank","Open","General Public","18300 4th Ave S, Burien, WA 98148","47.4383823","-122.3275755","(206)-433-9900","https://www.highlineareafoodbank.org/","Tuesday, Thursday","7/22/2025"
"Food Bank","Holy Innocents Food Pantry","Holy Innocents Church","Open","General Public","26526 NE Cherry Valley Rd, Duvall, WA 98019","47.7482852","-121.9818384","(425)-788-1400","https://www.holyinn.org/holy-innocents-food-pantry","Tuesday, Wednesday","8/7/2025"
"Meal","Holy Spirit Church","Holy Spirit Church","Open","General Public","310 3rd Ave S, Kent, WA 98032","47.3790708","-122.2357517","(253)-859-0444","https://www.holyspiritkent.org/","Friday","7/28/2025"
"Food Bank","Holy Temple Evangelistic Center","Holy Temple Evangelistic Center","Open","General Public","12600 Renton Ave S, Seattle, WA 98178","47.4917411","-122.2393177","(206)-722-3984","https://www.facebook.com/HolyTECSeattle/",,"7/28/2025"
"Food Bank","Hopelink","Bellevue Food Bank","Open","General Public","14812 Main St, Bellevue, WA 98007","47.6101989","-122.1414751","(425)-869-6000","https://www.hopelink.org/need-help/food#collapseTen","Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank","Hopelink","Duvall Redemption Church","Open","General Public","15305 Main St NE, Duvall, WA 98019","47.7384956","-121.9874376","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Tuesday, Wednesday, Thursday","7/22/2025"
"Food Bank","Hopelink","Fall City Library","Open","General Public","33415 SE 42nd Pl, Fall City, WA 98024","47.5687511","-121.8939291","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Wednesday","7/22/2025"
"Food Bank","Hopelink","Kenmore Community Church","Open","General Public","7504 NE Bothell Way, Kenmore, WA 98028","47.7574803","-122.2403086","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Thursday","7/28/2025"
"Food Bank","Hopelink","Kenmore Senior Center","Open","General Public","6910 NE 170th St, Kenmore, WA 98028","47.752997","-122.2498849","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Tuesday","7/28/2025"
"Food Bank","Hopelink","Kirkland Food Bank","Open","General Public","11011 120th Ave NE, Kirkland, WA 98033","47.6987817","-122.1818137","(425)-869-6000","https://www.hopelink.org/programs/food-program/","Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank","Hopelink","Lake Hills Elementary","Open","General Public","14310 SE 12th St, Bellevue, WA 98007","47.600419","-122.1487891","(425)-889-7880","https://www.hopelink.org/programs/food-program/mobile-market/","Tuesday, Wednesday, Thursday","8/7/2025"
"Food Bank","Hopelink","Redmond Food Bank","Open","General Public","8990 154th Ave NE, Redmond, WA 98052","47.6818932","-122.13423","(425)-869-6000","https://www.hopelink.org/programs/food-program/","Monday, Tuesday, Wednesday, Thursday","8/7/2025"
"Food Bank","Hopelink","Shoreline Food Bank","Open","General Public","17837 Aurora Ave N, Shoreline, WA 98133","47.758995","-122.3668098","(206)-440-7300","https://www.hopelink.org/need-help/food#collapseTen","Monday, Tuesday, Wednesday, Thursday","7/28/2025"
"Food Bank","Hopelink","Sno-Valley Food Bank","Open","General Public","31957 E Commercial St, Carnation, WA 98014","47.6488697","-121.912673","(425)-333-4163","https://www.hopelink.org/need-help/food#collapseTen","Monday, Wednesday, Thursday","7/28/2025"
"Food Bank","Hopelink","UW Bothell/Cascadia College","Open","General Public","18115 Campus Way NE, Building CC2, Bothell, WA 98011","47.7612687","-122.1918002","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Thursday","7/22/2025"
"Food Bank","Hopelink","Woodinville Downtown","Open","General Public","18105 142nd Ave NE, Woodinville, WA 98072","47.758519","-122.149842","(425)-869-6000","https://www.hopelink.org/programs/food-program/mobile-market/","Wednesday","7/22/2025"
"Food Bank","Hopelink","Woodinville Library","Open","General Public","17105 Avondale Rd NE, Woodinville, WA 98072","47.7515963","-122.0819456","(425)-869-6000","https://www.hopelink.org/location/mobile-market","Tuesday","8/12/2025"
"Meal","Hunger Intervention Program","Cedarvale Village","Open","Youth and Young Adults","11050 8th Ave NE, Seattle, WA 98125","47.710233","-122.3201755","(206)-538-6567","https://www.hungerintervention.org/","Monday, Tuesday, Wednesday, Thursday, Friday","8/4/2025"
"Meal","Hunger Intervention Program","Afterschool Meal at Lake City Library","Open","Youth and Young Adults","12501 28th Ave NE, Seattle, WA 98125",,,"(206)-538-6567","https://hungerintervention.org/afterschool-meals/","Friday","8/11/2025"
"Meal","Hunger Intervention Program","Lake City Court","Open","Youth and Young Adults","12526 33rd Ave NE, Seattle, WA 98125","47.720291","-122.291805","(206)-538-6567","https://www.hungerintervention.org/","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Hunger Intervention Program","Farmers Market at Lake City Community Center","Open","Youth and Young Adults","12546 28th Ave NE, Seattle, WA 98125","47.7197784","-122.2975849","(206)-538-6567","https://www.hungerintervention.org/","Thursday","8/9/2025"
"Meal","Hunger Intervention Program","Bella-B Mobile Park Home","Open","Youth and Young Adults","1333 N 125th St, Seattle, WA 98133","47.7191339","-122.3410813","(206)-538-6567","https://www.hungerintervention.org","Monday, Tuesday, Wednesday, Thursday, Friday","8/4/2025"
"Meal","Hunger Intervention Program","Viv Apartments","Open","Youth and Young Adults","14200 Linden Ave N, Seattle, WA 98133",,,"N/A","https://www.hungerintervention.org","Monday, Tuesday, Wednesday, Thursday, Friday","8/4/2025"
"Meal","Hunger Intervention Program","Jackson Park Community Building","Open","Youth and Young Adults","14374 30th Ave NE, Seattle, WA 98125","47.733508","-122.29595","(206)-538-6567","https://www.hungerintervention.org/","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Hunger Intervention Program","Dale Turner YMCA","Open","Youth and Young Adults","19290 Aurora Ave N, Shoreline, WA 98133",,,"N/A","https://www.hungerintervention.org","Monday, Tuesday, Wednesday, Thursday, Friday","8/4/2025"
"Meal","Hunger Intervention Program","Ballinger Homes","Open","Youth and Young Adults","2200 NE 201st Place, Shoreline, WA 98155",,,"N/A","https://www.hungerintervention.org","Monday, Tuesday, Wednesday, Thursday, Friday","8/4/2025"
"Meal","Hunger Intervention Program","KCLS Library (Shoreline Branch)","Open","Youth and Young Adults","345 NE 175th St, Shoreline, WA 98155","47.75572025","-122.3248112","(206)-538-6567","https://www.hungerintervention.org/","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Hunger Intervention Program","North City Elementary School","Open","Youth and Young Adults","816 NE 190th St, Shoreline, WA 98155","47.767272","-122.3208429","(206)-538-6567","https://www.hungerintervention.org/","Monday, Tuesday, Wednesday, Thursday, Friday","8/4/2025"
"Food Bank & Meal","Immanuel Community Services","Immanuel Community Services Food Bank and Community Lunch","Open","General Public","1215 Thomas, Seattle, WA 98109","47.6206572","-122.3321098","(206)-622-1930","https://www.icsseattle.org/covid-19-info/","Sunday, Monday","8/4/2025"
"Food Bank","Issaquah Food and Clothing Bank","Issaquah Food and Clothing Bank","Open","General Public","179 1st Ave SE, Issaquah, WA 98027","47.528687","-122.0349549","(425)-392-4123","https://issaquahfoodbank.org/","Monday, Tuesday, Thursday","8/4/2025"
"Food Bank","Jewish Family Service","Polack Food Bank","Open","General Public","1601 16th Ave, Seattle, WA 98122","47.6155896","-122.3118419","(206)-461-3240","https://www.jfsseattle.org/get-help/polack-food-bank/","Wednesday, Thursday, Friday","8/4/2025"
"Food Bank","Kent Food Bank and Emergency Services","Kent Food Bank","Open","General Public","515 W Harrison St, Suite 107, Kent WA 98032","47.3823817","-122.2385989","(253)-520-3550","https://www.kentfoodbank.org/","Wednesday, Thursday, Friday","2/1/2026"
"Meal","Kent Seventh Day Adventist Church","Kent Seventh Day Adventist Church","Open","General Public","25213 116th Ave SE, Kent, WA 98030","47.3755391","-122.1875964","(253)-852-3883","https://www.kentsda.org/","Saturday","8/4/2025"
"Meal","Korean Women's Association","Korean Meal Site","Open","Older Adults 60+ and Eligible Participants","31635 23rd Ave S, Federal Way, WA 98003","47.3180788","-122.3043065","(253)-946-2489","https://www.kwacares.org/our-services/social-services/senior-wellness-programs/senior-congregate-nutrition-service-hdm/","Monday, Wednesday, Friday","8/7/2025"
"Food Bank & Meal","Lifelong","Chicken Soup Brigade","Open","Contact Agency for Any Eligibility Requirements","210 S Lucile, Seattle , WA 98108","47.3546154","-122.1695967","(206)-957-1600","https://www.lifelong.org/chicken-soup-brigade",,"2/1/2026"
"Food Bank","Living Well Kent","Kent","Open","General Public","24604 104th Ave SE, Suite 102, Kent, WA 98030","47.3813694","-122.2015809","(425)-466-7018","https://livingwellkent.org/index.html","Monday, Wednesday","8/12/2025"
"Food Bank","Maple Valley Food Bank and Emergency Services","Maple Valley Food Bank","Open","General Public","21415 Renton-Maple Valley Rd SE, Maple Valley, WA 98038","47.4093704","-122.0395177","(425)-432-8633","https://www.maplevalleyfoodbank.org/programs/market-style-food-bank/senior-shop-day/","Tuesday, Wednesday","8/7/2025"
"Food Bank & Meal","Messiah Lutheran Church","Auburn","Open","General Public","410 H St NE, Auburn, WA 98002","47.3116212","-122.2190892","(253)-833-5280","https://www.mlcauburn.org/community","Sunday, Wednesday, Thursday","8/4/2025"
"Meal","Mt. Si Senior Center","Mt. Si Senior Center","Open","Older Adults 50+ and Eligible Participants","411 Main Ave S, North Bend, WA 98045","47.4928162","-121.7885425","(425)-888-3434","https://www.mtsiseniorcenter.org/","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Multicultural Self-Sufficiency Movement","Evergreen Senior Club - Federal Way Community Center","Open","Older Adults 60+ and Eligible Participants","30819 14th Ave S, Federal Way, WA 98003","47.3256699","-122.3164786","(253)-835-6900","https://itallhappenshere.org/seniors/","Wednesday","8/7/2025"
"Meal","Musang Community Kitchen","Musang Community Kitchen","Open","General Public","2524 Beacon Ave S, Seattle, WA 98144","47.5803727","-122.3127166","(206)-708-6871","https://www.musangseattle.com/community-kitchen","Monday, Tuesday","8/4/2025"
"Meal","New Beginnings Christian Fellowship","New Beginnings Christian Fellowship","Open","General Public","19300 108th Ave SE, Kent, WA 98031","47.428904","-122.1954886","(425)-282-6220","https://thenbcf.org/","Saturday","8/12/2025"
"Food Bank","North Helpline","Bitter Lake Food Bank","Open","General Public","13000 Linden Ave N, Seattle, WA 98125","47.7242235","-122.3472592","(206)-367-3477","https://www.northhelpline.org/get-help/bitter-lake/","Saturday","8/4/2025"
"Food Bank","North Helpline","Lake City Food Bank","Open","General Public","12736 33rd Ave NE, Seattle, WA 98125","47.7223248","-122.2918447","(206)-367-3477","https://www.northhelpline.org/get-help/food-bank/","Wednesday, Thursday, Saturday","8/12/2025"
"Food Bank","Northwest Harvest","SODO Community Market","Open","General Public","1915 4th Ave S, Seattle, WA 98134","47.5855714","-122.3295651","(800)-722-6924","https://www.northwestharvest.org/sodo-community-market?gclid=CjwKCAjwguzzBRBiEiwAgU0FT2oeYOjgOqT-nfdpq8cCoSR-ynhQyJnFA4Xuzmhtt749Xzpz19jAZRoCaTUQAvD_BwE","Monday, Wednesday, Friday","8/4/2025"
"Food Bank","Northwest Harvest/World Relief","Hillside Church","Open","General Public","930 E James St, Kent, WA 98031","47.3861959","-122.2218815","(253)-852-5144","https://hillsidechurch.squarespace.com/local-1",,"8/13/2025"
"Meal","Northwest SHARE","University Heights Center","Open","General Public","5031 University Way NE, Seattle, WA 98105","47.666133","-122.3137458","(206)-527-4278","https://www.uheightscenter.org/coronavirus","Sunday, Wednesday, Friday, Saturday","8/4/2025"
"Meal","Operation Nightwatch","Operation Nightwatch Shelter Dispatch Center","Open","General Public","302 14th Ave S, Seattle, WA 98144","47.5998571","-122.3137564","(206)-329-2099","https://www.seattlenightwatch.org/what-we-do/food-and-shelter/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/4/2025"
"Meal","Operation Sack Lunch, Inc.","Compass Housing","Open","General Public","210 Alaskan Way S, Seattle, WA 98104","47.60104542","-122.3353162","(206)-347-6629","https://www.oslserves.org/","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/12/2025"
"Food Bank","Overcomer Covenant Church","Overcomer Food Bank","Open","General Public","2808 S 354th Ln, Federal Way, WA 98003","47.28432","-122.29698","(253)-874-4038","https://overcomercc.org/missions-outreach",,"8/4/2025"
"Food Bank","Paradise of Praise","Food Bank","Open","General Public","1316 SW Holden St, Seattle, WA 98106","47.5344477","-122.3524692","(206)-234-2713","https://www.seattlefoodcommittee.org/food_bank/paradise-of-praise/","Tuesday","8/4/2025"
"Meal","Sound Generations","Hunger Intervention Program - Lake City Community Center","Open","Older Adults 60+ and Eligible Participants","12531 28th Ave NE, Seattle, WA 98125","47.7203524","-122.2981048","(206)-707-1865","https://www.soundgenerations.org/our-programs/food-security/community-dining/","Monday, Wednesday, Friday","8/5/2025"
"Meal","St. Martin's On Westlake","St. Martin's On Westlake","Open","Contact Agency for Any Eligibility Requirements","2008 Westlake Ave, Seattle, WA 98121","47.6155497","-122.3375982","(206)-340-0410","https://ccsww.org/services/permanent-housing/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","2/5/2026"
"Food Bank","Phinney Ridge Lutheran Church","Phinney Ridge Food Bank","Open","General Public","7500 Greenwood Ave N, Seattle, WA 98103","47.6835063","-122.3547797","(206)-783-2350","https://prlc.org/phinney-ridge-lutheran-church-food-bank","Tuesday, Wednesday","8/4/2025"
"Food Bank","Pike Market Senior Center","Pike Market Senior Center","Open","Contact Agency for Any Eligibility Requirements","1531 Western Ave, Seattle, WA 98101","47.608886","-122.342051","(206)-728-2773","https://www.pmsc-fb.org/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/4/2025"
"Meal","Pike Market Senior Center","Pike Market Senior Center","Open","Older Adults 55+ and Eligible Participants","85 Pike St, Seattle, WA 98101","47.6084268","-122.3405616","(206)-728-2773","https://www.pmsc-fb.org/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/4/2025"
"Food Bank","Plant Based Food Share","Central Seattle","Open","Contact Agency for Any Eligibility Requirements","7148 Martin Luther King Jr Way S, Seattle, WA 98118","47.5374953","-122.2809353","(971)-245-2907?","https://www.plantbasedfoodshare.org","Sunday, Monday","8/12/2025"
"Meal","Federal Way Community Caregiving Network","Church of the Good Shepherd Church","Open","General Public","345 S 312th St, Federal Way, WA 98003","47.3221136","-122.330177","(253)-661-0505","https://www.fwccn.org/services.html","Saturday","8/12/2025"
"Food Bank","Prison Scholar Fund","Prison Scholar Fund","Open","Contact Agency for Any Eligibility Requirements","1752 NW Market St, #953, Seattle, WA 98107","47.669121","-122.381152","(206)-734-5425","https://www.prisonscholars.org/food-security/","Thursday, Friday","8/12/2025"
"Food Bank","Puget Sound Labor Agency","Puget Sound Labor Agency Food Bank","Open","General Public","5300 4th Ave South, Seattle, WA 98108","47.5546964","-122.3291893","(206)-448-9277","https://www.pugetsoundlaboragency.org/food-bank.html","Monday, Wednesday","8/12/2025"
"Meal","Preston Food Bank","Raging River Community Church","Open","General Public","31104 SE 86th St, Preston, WA 98050","47.5236596","-121.926249","(425)-222-5573","https://r2c2blog.wordpress.com/ministry/foodbank/","Thursday","8/7/2025"
"Food Bank & Meal","Rainier Valley Food Bank","Paradise Baptist Church","Open","General Public","4353 S Henderson St, Seattle, WA 98118",,,"N/A","https://www.rvfb.org/grocery-mobile-markets","Wednesday, Friday","8/5/2025"
"Food Bank & Meal","Rainier Valley Food Bank","Odessa Brown - Othello","Open","Odessa Brown Childrens Clinic Patient Families","3939 S Othello St,  Suite 101, Seattle, WA 98118",,,"N/A","https://www.rvfb.org/grocery-mobile-markets","Wednesday","8/5/2025"
"Meal","Ravenna PopUp Kitchen","Ravenna PopUp Kitchen","Open","General Public","65th and 8th Ave NE, Seattle, WA 98115 (under the I5 overpass)","47.675803","-122.320245","N/A","https://www.facebook.com/pages/category/Community/Ravenna-PopUp-Kitchen-498542463880219/","Sunday","8/12/2025"
"Meal","REACH Meal Coalition","REACH Meal Coalition","Open","General Public","419 S 2nd St, Suite 1, Renton, WA 98057","47.4873486","-122.217794","(425)-277-7582","https://reachrenton.org/rmc-the-table-a-free-community-meal","Saturday","8/12/2025"
"Meal","Recovery Caf�","Recovery Caf� SODO","Open","Contact Agency for Any Eligibility Requirements","4202 6th Ave S, Seattle, WA 98108",,,"(206)-333-2314","https://recoverycafe.org/recovery-cafe-sodo/","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/12/2025"
"Meal","Recovery Caf�","South Lake Union","Open","Contact Agency for Any Eligibility Requirements","2022 Boren Ave, Seattle, WA 98121","47.618348","-122.3346308","(206)-374-8731","https://www.recoverycafe.org/","Tuesday, Wednesday, Thursday, Friday, Saturday","8/4/2025"
"Food Bank & Meal","Redmond UMC","Open Kitchen","Open","General Public","16540 NE 80th St, Redmond, WA 98052","47.675118","-122.120025","(425)-883-7553","https://redmondumc.org/ministries/open-kitchen","Wednesday","8/4/2025"
"Food Bank","Renewal Food Bank","Highland Covenant Church","Open","General Public","15022 Bel-Red Rd, Bellevue, WA 98007","47.6275862","-122.1394748","(425)-736-8132","https://renewalfoodbank.org/","Monday, Tuesday, Wednesday","8/7/2025"
"Meal","ROOTS","Friday Feast","Open","General Public","4130 University Way NE, Seattle, WA 98105","47.6592588","-122.3124319","(206)-632-1635","https://www.rootsinfo.org/","Friday","8/12/2025"
"Meal","Roots Young Adult Shelter","Roots Young Adult Shelter","Open","General Public","4541 19th Ave NE, Seattle, WA 98105","47.6624222","-122.3076074","(206)-632-1635","https://www.rootsinfo.org/friday-feast-volunteer","Friday","2/1/2026"
"Food Bank & Meal","Sacred Heart Church/SVDP Society","Queen Anne Food Bank and Meals","Open","General Public","232 Warren Ave N, Suite B, Seattle, WA 98109","47.6206989","-122.3537259","(206)-216-4102","https://www.sacredheartseattle.org/qafb","Monday, Tuesday, Wednesday, Thursday, Friday","8/2/2025"
"Food Bank & Meal","Salvation Army","Salvation Army Renton/Rotary Food Bank","Open","General Public","206 S Tobin St, Renton,  WA 98057","47.4842805","-122.2140148","(425)-255-5969","https://webmanager.salvationarmy.org/renton_corps/food-bank?random=492","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Food Bank & Meal","Salvation Army","Salvation Army White Center","Open","Food Bank: General Public 
Meals: Older Adults 60+ and Eligible Participants","9050 16th Ave SW, Seattle, WA 98106","47.5215741","-122.3547065","(206)-767-3150","https://tsawhitecenter.org/SeattleWhiteCenter/help","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Salvation Army of Renton Community Supper","The Salvation Army Renton Corps Community Center","Open","General Public","720 S Tobin St, Renton, WA 98057","47.4839337","-122.2072343","(425)-255-5974","https://renton.salvationarmy.org/renton_corps/renton-food-bank/","Monday, Tuesday, Wednesday, Thursday","8/7/2025"
"Food Bank & Meal","Seattle Indian Center","Emergency Meals and Food Bank","Open","General Public","624 S Dearborn St, Seattle, WA 98134","47.5959979","-122.3254326","(206)-329-8700","https://www.seattleindian.org/services/food-security-programs/","Monday, Tuesday, Wednesday, Thursday, Friday","8/5/2025"
"Food Bank","Snoqualmie Valley Food Bank","Snoqualmie Valley Food Bank","Open","General Public","122 E 3rd St, North Bend, WA 98045","47.4962806","-121.783458","(425)-888-7832","https://www.snoqualmievalleyfoodbank.org/","Tuesday, Wednesday, Thursday","8/12/2025"
"Meal","Snoqualmie Valley Shelter Resource Center","American Legion Post","Open","Contact Agency for Any Eligibility Requirements","38625 SE River St, Snoqualmie, WA 98065","47.5266927","-121.8255624","(425)-773-2874","https://www.svshelterservices.org/resource-center.html","Sunday, Monday, Tuesday, Wednesday, Thursday","8/5/2025"
"Food Bank","Society of St Vincent de Paul Council","Georgetown Food Bank","Open","General Public","5972 4th Ave S, Seattle, WA 98108","47.5486194","-122.3291318","(206)-686-5260","https://www.svdpseattle.org/get-help/food-bank/","Tuesday, Thursday, Friday","8/5/2025"
"Meal","Sound Generations","Auburn Senior Activity Center","Open","Older Adults 60+ and Eligible Participants","808 9th St SE, Auburn, WA 98002","47.30001724","-122.2179889","(253)-931-3016","https://www.auburnwa.gov/city_hall/parks_arts_recreation/senior_activity_center/senior_health","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Sound Generations","American Polynesian Organization and International Drop-In Center","Open","Older Adults 60+ and Eligible Participants","7301 Beacon Ave, Seattle, WA 98108","47.5364556","-122.2934033","(206)-606-0916","https://www.soundgenerations.org/our-programs/food-security/community-dining/","Tuesday","8/5/2025"
"Meal","Sound Generations","Ballard NW Senior Center","Open","Older Adults 60+ and Eligible Participants","5429 32nd NW, Seattle, WA 98017","47.6684176","-122.3987072","(206)-297-0403","https://www.soundgenerations.org/our-programs/food-security/community-dining/","Monday, Tuesday, Wednesday, Thursday, Friday","8/5/2025"
"Meal","Sound Generations","Central Area Senior Center","Open","Older Adults 60+ and Eligible Participants","500 30th Ave S, Seattle, WA 98144","47.597467","-122.2932771","(206)-726-4926","https://www.soundgenerations.org/our-programs/food-security/community-dining/","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Food Bank","Rainier Valley Food Bank","Rainier Valley Food Bank","Open","General Public","4205 Rainier Ave S, Seattle, WA 98118","47.5653236","-122.2889468","(206)-723-4105","https://www.rvfb.org/","Wednesday, Friday","8/20/2025"
"Meal","Sound Generations","First Tongan Senior Association","Open","Older Adults 60+ and Eligible Participants","9001 9th Ave SW, Seattle, WA 98106","47.5225031","-122.3471612","(206)-727-6248","https://www.soundgenerations.org/our-programs/food-security/community-dining/","Wednesday","8/7/2025"
